Unix Timestamp,Average eye position (pixels),Average pupil dilation
1722787041.2538977,"(1680.0, 1050.0)",2.941253662109375
1722787041.304377,"(1680.0, 1050.0)",2.9277801513671875
1722787041.3205032,"(1680.0, 1050.0)",2.8314666748046875
1722787041.3546026,"(1680.0, 1050.0)",2.819427490234375
1722787041.371224,"(1680.0, 1050.0)",2.8181610107421875
1722787041.404006,"(1680.0, 1050.0)",2.8354949951171875
1722787041.421074,"(1680.0, 1050.0)",2.8232269287109375
1722787041.4536963,"(1680.0, 1050.0)",2.876800537109375
1722787041.5040052,"(1680.0, 1050.0)",2.8670196533203125
1722787041.5206676,"(1680.0, 1050.0)",2.87109375
1722787041.5539303,"(1680.0, 1050.0)",2.90423583984375
1722787041.5701222,"(1680.0, 1050.0)",2.9173431396484375
1722787041.6032734,"(1680.0, 1050.0)",3.0266571044921875
1722787041.6202343,"(1680.0, 1050.0)",2.9304656982421875
1722787041.6370888,"(1680.0, 0.0)",3.0458221435546875
1722787041.669824,"(1680.0, 1050.0)",2.9176025390625
1722787041.7038462,"(1680.0, 1050.0)",2.9856109619140625
1722787041.719915,"(1680.0, 1050.0)",2.99676513671875
1722787041.752913,"(1680.0, 1050.0)",3.0183563232421875
1722787041.7701128,"(1680.0, 1050.0)",3.01434326171875
1722787041.8031476,"(1680.0, 1050.0)",3.0269012451171875
1722787041.8195968,"(1680.0, 1050.0)",3.027435302734375
1722787041.8538163,"(1680.0, 1050.0)",3.0394744873046875
1722787041.8696215,"(1680.0, 1050.0)",3.043975830078125
1722787041.90309,"(1680.0, 1050.0)",3.0567169189453125
1722787041.9196699,"(1680.0, 1050.0)",3.063995361328125
1722787041.9532375,"(1680.0, 1050.0)",3.0717010498046875
1722787041.9698486,"(1680.0, 1050.0)",3.0770263671875
1722787042.002938,"(1680.0, 1050.0)",3.067840576171875
1722787042.0196028,"(1680.0, 1050.0)",3.065032958984375
1722787042.0530558,"(1680.0, 1050.0)",3.072509765625
1722787042.068536,"(1680.0, 1050.0)",3.0729522705078125
1722787042.1031194,"(1680.0, 1050.0)",3.0683441162109375
1722787042.1189573,"(1680.0, 1050.0)",2.9977188110351562
1722787042.1361134,"(1680.0, 1050.0)",3.0373764038085938
1722787042.1531887,"(1540.0, 967.0)",2.96673583984375
1722787042.2681727,"(861.0, 768.0)",2.2444305419921875
1722787042.2859695,"(861.0, 546.0)",2.1946334838867188
1722787042.3034272,"(707.0, 432.0)",2.6926803588867188
1722787042.3196113,"(628.0, 381.0)",3.04412841796875
1722787042.3362422,"(640.0, 367.0)",3.1086349487304688
1722787042.3525486,"(639.0, 365.0)",3.1083297729492188
1722787042.3681018,"(633.0, 359.0)",3.1234970092773438
1722787042.3863492,"(636.0, 357.0)",3.13360595703125
1722787042.4029527,"(638.0, 358.0)",3.1458358764648438
1722787042.4187324,"(639.0, 352.0)",3.1558837890625
1722787042.4367294,"(637.0, 348.0)",3.158538818359375
1722787042.4528587,"(633.0, 344.0)",3.1595230102539062
1722787042.4689744,"(632.0, 338.0)",3.159454345703125
1722787042.4858456,"(633.0, 334.0)",3.1628189086914062
1722787042.5031319,"(630.0, 335.0)",3.164947509765625
1722787042.5181184,"(630.0, 339.0)",3.1768798828125
1722787042.5361564,"(630.0, 334.0)",3.1781158447265625
1722787042.552224,"(628.0, 329.0)",3.1800994873046875
1722787042.5686984,"(629.0, 328.0)",3.1739883422851562
1722787042.585857,"(626.0, 331.0)",3.1665191650390625
1722787042.6020684,"(628.0, 335.0)",3.1649017333984375
1722787042.6185918,"(629.0, 332.0)",3.1644210815429688
1722787042.636121,"(628.0, 332.0)",3.162872314453125
1722787042.652003,"(632.0, 338.0)",3.1619110107421875
1722787042.6679873,"(635.0, 337.0)",3.1623764038085938
1722787042.6857874,"(698.0, 381.0)",3.1697540283203125
1722787042.7021627,"(915.0, 531.0)",3.1752090454101562
1722787042.717668,"(1185.0, 732.0)",3.16229248046875
1722787042.7360568,"(1452.0, 941.0)",3.1605300903320312
1722787042.751916,"(1680.0, 1050.0)",3.1511383056640625
1722787042.8025405,"(1680.0, 1050.0)",3.2554779052734375
1722787042.8515723,"(1680.0, 1050.0)",3.17205810546875
1722787042.9020658,"(1680.0, 1050.0)",3.11114501953125
1722787042.9518178,"(1680.0, 1050.0)",3.0623931884765625
1722787043.001733,"(1680.0, 1050.0)",3.0056915283203125
1722787043.0179,"(1680.0, 1050.0)",2.9097900390625
1722787043.0346205,"(1680.0, 1050.0)",2.9042816162109375
1722787043.051664,"(1680.0, 1050.0)",2.883514404296875
1722787043.067277,"(1680.0, 1050.0)",2.875091552734375
1722787043.0842211,"(1680.0, 1050.0)",2.8617706298828125
1722787043.1019106,"(1680.0, 1050.0)",2.8559112548828125
1722787043.1349173,"(1680.0, 1050.0)",2.8398590087890625
1722787043.1512275,"(1680.0, 1050.0)",2.9117584228515625
1722787043.1669493,"(1680.0, 1050.0)",2.7694854736328125
1722787043.1844366,"(1680.0, 1050.0)",2.765106201171875
1722787043.2013094,"(1680.0, 1050.0)",2.9097442626953125
1722787043.2168689,"(1680.0, 1050.0)",2.7954788208007812
1722787043.2348955,"(1680.0, 1050.0)",2.7559814453125
1722787043.2508736,"(1680.0, 1050.0)",2.91015625
1722787043.2672212,"(1680.0, 1050.0)",2.751556396484375
1722787043.2847583,"(1680.0, 1050.0)",2.7456207275390625
1722787043.3014069,"(1680.0, 1050.0)",2.90777587890625
1722787043.3172543,"(1680.0, 1050.0)",2.723876953125
1722787043.3338675,"(1680.0, 1050.0)",2.7206268310546875
1722787043.350982,"(1680.0, 1050.0)",2.9025726318359375
1722787043.3674135,"(1680.0, 1050.0)",2.7721176147460938
1722787043.384503,"(1680.0, 1050.0)",2.7402496337890625
1722787043.401088,"(1680.0, 1050.0)",2.8907012939453125
1722787043.4343128,"(1680.0, 1050.0)",2.79608154296875
1722787043.4671109,"(1680.0, 1050.0)",2.7275238037109375
1722787043.4838667,"(1680.0, 1050.0)",2.7428741455078125
1722787043.501344,"(1680.0, 1050.0)",2.8524169921875
