Unix Timestamp: 1724326493.60862, Key.backspace release
Unix Timestamp: 1724326493.7691, Key.shift press
Unix Timestamp: 1724326493.9611864, T press
Unix Timestamp: 1724326494.024848, T release
Unix Timestamp: 1724326494.0571506, Key.shift release
Unix Timestamp: 1724326589.4967902, Key.shift press
Unix Timestamp: 1724326590.0108562, Key.shift press
Unix Timestamp: 1724326590.0428493, Key.shift press
Unix Timestamp: 1724326590.0736609, Key.shift press
Unix Timestamp: 1724326590.104514, Key.shift press
Unix Timestamp: 1724326590.1359794, Key.shift press
Unix Timestamp: 1724326590.1680624, Key.shift press
Unix Timestamp: 1724326590.200066, Key.shift press
Unix Timestamp: 1724326590.2309575, Key.shift press
Unix Timestamp: 1724326590.2623732, Key.shift press
Unix Timestamp: 1724326590.308945, Key.shift press
Unix Timestamp: 1724326590.327976, S press
Unix Timestamp: 1724326590.392822, Key.shift release
Unix Timestamp: 1724326590.4244635, o press
Unix Timestamp: 1724326590.4558952, s release
Unix Timestamp: 1724326590.4888341, o release
Unix Timestamp: 1724326591.0166876, m press
Unix Timestamp: 1724326591.096245, m release
Unix Timestamp: 1724326592.2967012, e press
Unix Timestamp: 1724326592.3448238, Key.space press
Unix Timestamp: 1724326592.392807, Key.space release
Unix Timestamp: 1724326592.3934171, e release
Unix Timestamp: 1724326592.8726497, p press
Unix Timestamp: 1724326592.9682083, p release
Unix Timestamp: 1724326593.2727153, r press
Unix Timestamp: 1724326593.3199337, o press
Unix Timestamp: 1724326593.3847656, r release
Unix Timestamp: 1724326593.3863745, o release
Unix Timestamp: 1724326593.527943, f press
Unix Timestamp: 1724326593.6726522, e press
Unix Timestamp: 1724326593.6879687, f release
Unix Timestamp: 1724326593.768722, e release
Unix Timestamp: 1724326593.927855, s press
Unix Timestamp: 1724326594.0084102, s release
Unix Timestamp: 1724326594.0882983, s press
Unix Timestamp: 1724326594.1845062, s release
Unix Timestamp: 1724326594.312174, o press
Unix Timestamp: 1724326594.376413, o release
Unix Timestamp: 1724326594.4408305, r press
Unix Timestamp: 1724326594.5686636, r release
Unix Timestamp: 1724326594.5847278, Key.space press
Unix Timestamp: 1724326594.632192, Key.space release
Unix Timestamp: 1724326595.1130905, f press
Unix Timestamp: 1724326595.161081, r press
Unix Timestamp: 1724326595.2406178, f release
Unix Timestamp: 1724326595.3203492, r release
Unix Timestamp: 1724326595.6248178, o press
Unix Timestamp: 1724326595.6724608, o release
Unix Timestamp: 1724326596.5044022, m press
Unix Timestamp: 1724326596.5687914, m release
Unix Timestamp: 1724326596.6963465, Key.space press
Unix Timestamp: 1724326596.7445538, Key.space release
Unix Timestamp: 1724326597.416334, m press
Unix Timestamp: 1724326597.464647, m release
Unix Timestamp: 1724326597.5439157, z press
Unix Timestamp: 1724326597.6245198, Key.space press
Unix Timestamp: 1724326597.6561673, Key.space release
Unix Timestamp: 1724326597.659155, z release
Unix Timestamp: 1724326597.9604526, u press
Unix Timestamp: 1724326598.0083387, u release
Unix Timestamp: 1724326599.0162966, Key.backspace press
Unix Timestamp: 1724326599.0805395, Key.backspace release
Unix Timestamp: 1724326599.1762247, Key.backspace press
Unix Timestamp: 1724326599.2247298, Key.backspace release
Unix Timestamp: 1724326599.3207154, Key.backspace press
Unix Timestamp: 1724326599.4007072, Key.backspace release
Unix Timestamp: 1724326600.4083204, z press
Unix Timestamp: 1724326600.5526128, z release
Unix Timestamp: 1724326601.0963356, Key.backspace press
Unix Timestamp: 1724326601.1605563, Key.backspace release
Unix Timestamp: 1724326601.4486172, y press
Unix Timestamp: 1724326601.5119846, y release
Unix Timestamp: 1724326601.735952, Key.space press
Unix Timestamp: 1724326601.8000298, Key.space release
Unix Timestamp: 1724326602.4402807, u press
Unix Timestamp: 1724326602.4888546, u release
