Timestamp,Type,Action,Key,Flight Time
2024-08-07 16:02:29.798170328,t,,release,0.095814943
2024-08-07 16:02:29.799175978,h,,press,0.00100565
2024-08-07 16:02:29.910086155,h,,release,0.110910177
2024-08-07 16:02:29.926195383,e,,press,0.016109228
2024-08-07 16:02:29.957714081,Key.space,,press,0.031518698
2024-08-07 16:02:30.006520033,e,,release,0.048805952
2024-08-07 16:02:30.085930586,l,,press,0.079410553
2024-08-07 16:02:30.102595329,Key.space,,release,0.016664743
2024-08-07 16:02:30.182108879,l,,release,0.07951355
2024-08-07 16:02:30.453919888,b,,press,0.271811009
2024-08-07 16:02:30.518562794,b,,release,0.064642906
2024-08-07 16:02:30.758100986,Key.backspace,,press,0.239538192
2024-08-07 16:02:30.869713306,Key.backspace,,release,0.11161232
2024-08-07 16:02:31.127022505,i,,press,0.257309199
2024-08-07 16:02:31.222726822,i,,release,0.095704317
2024-08-07 16:02:31.285729885,b,,press,0.063003063
2024-08-07 16:02:31.366028786,b,,release,0.080298901
2024-08-07 16:02:31.430696249,r,,press,0.064667463
2024-08-07 16:02:31.494898796,r,,release,0.064202547
2024-08-07 16:02:31.622576952,a,,press,0.127678156
2024-08-07 16:02:31.734245777,a,,release,0.111668825
2024-08-07 16:02:31.846006870,r,,press,0.111761093
2024-08-07 16:02:31.926220179,r,,release,0.080213309
2024-08-07 16:02:31.990154266,y,,press,0.063934087
2024-08-07 16:02:32.118255854,y,,release,0.128101588
2024-08-07 16:02:32.119297028,Key.space,,press,0.001041174
2024-08-07 16:02:32.230355740,Key.space,,release,0.111058712
2024-08-07 16:02:32.374495029,t,,press,0.144139289
2024-08-07 16:02:32.469983816,t,,release,0.095488787
2024-08-07 16:02:32.471977234,o,,press,0.001993418
2024-08-07 16:02:32.534178495,Key.space,,press,0.062201261
2024-08-07 16:02:32.567743063,o,,release,0.033564568
2024-08-07 16:02:32.662529469,Key.space,,release,0.094786406
2024-08-07 16:02:32.726121664,f,,press,0.063592195
2024-08-07 16:02:32.742813587,i,,press,0.016691923
2024-08-07 16:02:32.806541920,f,,release,0.063728333
2024-08-07 16:02:32.854569674,n,,press,0.048027754
2024-08-07 16:02:32.885931253,i,,release,0.031361579
2024-08-07 16:02:32.966534376,n,,release,0.080603123
2024-08-07 16:02:33.014829874,d,,press,0.048295498
2024-08-07 16:02:33.110014200,d,,release,0.095184326
2024-08-07 16:02:33.112011671,Key.space,,press,0.001997471
2024-08-07 16:02:33.205406189,Key.space,,release,0.093394518
2024-08-07 16:02:33.223926306,m,,press,0.018520117
2024-08-07 16:02:33.302565098,m,,release,0.078638792
2024-08-07 16:02:33.398594141,o,,press,0.096029043
2024-08-07 16:02:33.430810213,r,,press,0.032216072
2024-08-07 16:02:33.510589600,o,,release,0.079779387
2024-08-07 16:02:33.542480469,r,,release,0.031890869
2024-08-07 16:02:33.543480396,e,,press,0.000999927
2024-08-07 16:02:33.606978416,Key.space,,press,0.06349802
2024-08-07 16:02:33.654492855,e,,release,0.047514439
2024-08-07 16:02:33.734113693,Key.space,,release,0.079620838
2024-08-07 16:02:34.070019722,d,,press,0.335906029
2024-08-07 16:02:34.150421143,d,,release,0.080401421
2024-08-07 16:02:34.152418375,e,,press,0.001997232
2024-08-07 16:02:34.261668921,e,,release,0.109250546
2024-08-07 16:02:34.342399597,t,,press,0.080730676
2024-08-07 16:02:34.407058001,t,,release,0.064658404
2024-08-07 16:02:34.581842422,a,,press,0.174784421
2024-08-07 16:02:34.694286585,a,,release,0.112444163
2024-08-07 16:02:34.758428574,i,,press,0.064141989
2024-08-07 16:02:34.774213076,i,,release,0.015784502
2024-08-07 16:02:35.030643702,i,,press,0.256430626
2024-08-07 16:02:35.093927860,i,,release,0.063284158
2024-08-07 16:02:35.366122961,Key.backspace,,press,0.272195101
2024-08-07 16:02:35.446609974,Key.backspace,,release,0.080487013
2024-08-07 16:02:35.558585167,l,,press,0.111975193
2024-08-07 16:02:35.670733452,l,,release,0.112148285
2024-08-07 16:02:35.702237606,s,,press,0.031504154
2024-08-07 16:02:35.734524488,s,,release,0.032286882
2024-08-07 16:02:35.735518932,Key.space,,press,0.000994444
2024-08-07 16:02:35.845889568,Key.space,,release,0.110370636
2024-08-07 16:02:40.518624544,a,,press,4.672734976
2024-08-07 16:02:40.663040876,a,,release,0.144416332
2024-08-07 16:02:40.726474762,b,,press,0.063433886
2024-08-07 16:02:40.806332350,b,,release,0.079857588
2024-08-07 16:02:40.998477936,o,,press,0.192145586
2024-08-07 16:02:41.078824997,o,,release,0.080347061
2024-08-07 16:02:41.141943216,u,,press,0.063118219
2024-08-07 16:02:41.206104994,u,,release,0.064161778
2024-08-07 16:02:41.286027670,Key.space,,press,0.079922676
2024-08-07 16:02:41.303050995,t,,press,0.017023325
2024-08-07 16:02:41.382583380,Key.space,,release,0.079532385
2024-08-07 16:02:41.478121996,t,,release,0.095538616
2024-08-07 16:02:41.494593382,h,,press,0.016471386
2024-08-07 16:02:41.606299400,h,,release,0.111706018
2024-08-07 16:02:41.750392675,e,,press,0.144093275
2024-08-07 16:02:41.878539324,e,,release,0.128146649
2024-08-07 16:02:41.894546747,Key.space,,press,0.016007423
2024-08-07 16:02:42.022722960,Key.space,,release,0.128176213
2024-08-07 16:02:42.230420113,Key.backspace,,press,0.207697153
2024-08-07 16:02:42.310462952,Key.backspace,,release,0.080042839
2024-08-07 16:02:42.406384468,Key.backspace,,press,0.095921516
