type,x,y,timestamp,button,pressed,dx,dy
move,854,670,1722869238.8723364,,,,
click,854,670,1722869238.8723364,Button.left,False,,
move,855,670,1722869238.8798504,,,,
move,856,670,1722869238.8878565,,,,
move,856,670,1722869238.8962958,,,,
move,856,671,1722869238.9040554,,,,
move,857,671,1722869238.9202764,,,,
move,857,671,1722869238.9521134,,,,
click,857,671,1722869238.9613867,Button.left,True,,
move,858,671,1722869238.975899,,,,
move,858,671,1722869238.984131,,,,
move,859,671,1722869238.991959,,,,
move,859,671,1722869239.0083964,,,,
move,860,671,1722869239.0157828,,,,
move,861,671,1722869239.0234318,,,,
move,861,671,1722869239.0316398,,,,
click,861,671,1722869239.0326388,Button.left,False,,
move,862,671,1722869239.0401697,,,,
move,862,671,1722869239.0481517,,,,
move,863,671,1722869239.0563405,,,,
move,863,670,1722869239.063877,,,,
move,864,670,1722869239.0718727,,,,
move,865,670,1722869239.0879233,,,,
move,865,670,1722869239.0960524,,,,
move,866,670,1722869239.111615,,,,
move,866,670,1722869239.1361167,,,,
move,866,670,1722869239.2484505,,,,
move,866,670,1722869239.2556005,,,,
move,865,670,1722869239.264472,,,,
click,865,670,1722869239.2878578,Button.left,True,,
move,864,670,1722869239.3203385,,,,
move,864,670,1722869239.3278449,,,,
move,863,670,1722869239.335854,,,,
move,863,670,1722869239.3440053,,,,
move,862,670,1722869239.3521364,,,,
move,861,670,1722869239.3605256,,,,
move,860,670,1722869239.3763528,,,,
move,860,670,1722869239.3915167,,,,
move,859,670,1722869239.400031,,,,
move,859,670,1722869239.4240365,,,,
move,858,670,1722869239.432011,,,,
move,858,670,1722869239.4561408,,,,
move,858,669,1722869239.4805152,,,,
click,858,669,1722869239.961293,Button.left,False,,
move,858,669,1722869240.0714793,,,,
move,858,669,1722869240.080648,,,,
move,859,669,1722869240.0879538,,,,
move,859,669,1722869240.0961628,,,,
move,861,668,1722869240.104039,,,,
move,861,668,1722869240.1123717,,,,
move,863,668,1722869240.1202862,,,,
move,864,668,1722869240.1282804,,,,
move,865,668,1722869240.1354957,,,,
move,866,668,1722869240.1440196,,,,
move,867,667,1722869240.152054,,,,
move,868,667,1722869240.1602805,,,,
move,869,667,1722869240.1682181,,,,
move,871,667,1722869240.176195,,,,
move,872,666,1722869240.183424,,,,
move,873,666,1722869240.1919343,,,,
move,876,665,1722869240.2005084,,,,
move,877,665,1722869240.208171,,,,
move,877,665,1722869240.216508,,,,
move,879,665,1722869240.2240193,,,,
move,881,665,1722869240.2320487,,,,
move,881,665,1722869240.2401657,,,,
move,883,665,1722869240.2483993,,,,
move,884,664,1722869240.255765,,,,
move,884,664,1722869240.2645082,,,,
move,886,664,1722869240.2717016,,,,
move,887,664,1722869240.2801414,,,,
move,887,664,1722869240.2881427,,,,
move,889,663,1722869240.2956896,,,,
move,889,663,1722869240.304151,,,,
move,891,662,1722869240.320369,,,,
move,891,662,1722869240.328219,,,,
move,892,662,1722869240.3363082,,,,
move,892,662,1722869240.3434446,,,,
move,894,662,1722869240.3516133,,,,
move,895,662,1722869240.3601573,,,,
move,895,662,1722869240.3683293,,,,
move,897,661,1722869240.376464,,,,
move,898,661,1722869240.3843677,,,,
move,899,661,1722869240.3913782,,,,
move,900,661,1722869240.399477,,,,
move,902,660,1722869240.408635,,,,
move,903,660,1722869240.41638,,,,
move,904,660,1722869240.423951,,,,
move,905,660,1722869240.432124,,,,
move,907,660,1722869240.439373,,,,
move,908,660,1722869240.4479136,,,,
move,909,659,1722869240.456213,,,,
move,909,659,1722869240.4642293,,,,
move,911,659,1722869240.4724662,,,,
move,912,659,1722869240.4805975,,,,
move,912,659,1722869240.4883177,,,,
move,913,658,1722869240.4963245,,,,
move,914,658,1722869240.5033703,,,,
move,915,657,1722869240.5122607,,,,
move,915,657,1722869240.520109,,,,
move,916,657,1722869240.5281265,,,,
move,917,656,1722869240.535559,,,,
move,917,656,1722869240.5440745,,,,
move,918,655,1722869240.552185,,,,
move,919,654,1722869240.5596929,,,,
move,921,654,1722869240.568297,,,,
move,922,653,1722869240.5762246,,,,
move,923,653,1722869240.5845702,,,,
move,923,652,1722869240.591985,,,,
move,924,652,1722869240.599516,,,,
move,924,652,1722869240.6080198,,,,
move,926,651,1722869240.6155436,,,,
move,927,651,1722869240.6240768,,,,
move,927,650,1722869240.632331,,,,
move,929,649,1722869240.640272,,,,
move,929,649,1722869240.6478477,,,,
move,930,648,1722869240.6559315,,,,
move,932,647,1722869240.664481,,,,
move,932,646,1722869240.6722906,,,,
move,934,646,1722869240.6800041,,,,
move,934,646,1722869240.6880136,,,,
move,935,645,1722869240.6954532,,,,
move,937,644,1722869240.703971,,,,
move,937,643,1722869240.7120705,,,,
move,938,643,1722869240.7203102,,,,
move,939,643,1722869240.728078,,,,
move,940,642,1722869240.7358537,,,,
move,941,641,1722869240.7439542,,,,
move,942,640,1722869240.7520292,,,,
move,943,640,1722869240.7595997,,,,
move,943,640,1722869240.7682948,,,,
move,945,640,1722869240.7764564,,,,
move,946,639,1722869240.783978,,,,
move,947,638,1722869240.792309,,,,
move,947,638,1722869240.7999523,,,,
move,948,637,1722869240.808165,,,,
move,948,637,1722869240.8163428,,,,
move,950,636,1722869240.8238764,,,,
move,951,635,1722869240.8319607,,,,
move,951,635,1722869240.840001,,,,
move,953,634,1722869240.8479908,,,,
move,953,634,1722869240.8560543,,,,
move,954,633,1722869240.8640945,,,,
move,955,632,1722869240.8722277,,,,
move,956,631,1722869240.879898,,,,
move,956,631,1722869240.8882859,,,,
move,957,630,1722869240.8965034,,,,
move,957,629,1722869240.9041069,,,,
move,958,628,1722869240.9121542,,,,
move,959,628,1722869240.9202325,,,,
move,959,627,1722869240.9282787,,,,
move,959,626,1722869240.9356234,,,,
move,960,625,1722869240.9441378,,,,
move,960,624,1722869240.9524398,,,,
move,961,624,1722869240.9597058,,,,
move,961,623,1722869240.9682734,,,,
move,961,622,1722869240.97628,,,,
move,961,621,1722869240.9838107,,,,
move,961,619,1722869240.9925096,,,,
move,961,619,1722869241.0003357,,,,
move,962,618,1722869241.008437,,,,
move,963,617,1722869241.015347,,,,
move,963,616,1722869241.024222,,,,
move,964,615,1722869241.0322871,,,,
move,964,614,1722869241.0402062,,,,
move,965,613,1722869241.0484242,,,,
move,965,612,1722869241.0564694,,,,
move,965,612,1722869241.0639806,,,,
move,966,611,1722869241.0713465,,,,
move,966,610,1722869241.079869,,,,
move,967,609,1722869241.089014,,,,
move,968,607,1722869241.096004,,,,
move,968,607,1722869241.1040566,,,,
move,969,606,1722869241.1124256,,,,
move,969,605,1722869241.1200924,,,,
move,971,604,1722869241.1280966,,,,
move,973,601,1722869241.136259,,,,
move,974,601,1722869241.1444006,,,,
move,975,600,1722869241.1522639,,,,
move,976,598,1722869241.1597562,,,,
move,977,598,1722869241.1668413,,,,
move,978,596,1722869241.175353,,,,
move,979,596,1722869241.183865,,,,
move,980,593,1722869241.1922188,,,,
move,981,592,1722869241.200504,,,,
move,982,591,1722869241.2083848,,,,
move,982,590,1722869241.2167652,,,,
move,982,590,1722869241.22431,,,,
move,983,588,1722869241.231496,,,,
move,984,586,1722869241.2400067,,,,
