Timestamp, HR(bpm), Stress(ms), Resp(brpm)
1724317971, 119, 86.0, 21.45
1724317972, 119, 86.0, 21.49
1724317973, 119, 86.0, 21.49
1724317974, 119, 86.0, 21.49
1724317975, 119, 86.0, 21.49
1724317976, 118, 90.0, 21.49
1724317977, 118, 90.0, 21.49
1724317978, 118, 90.0, 21.49
1724317979, 118, 90.0, 21.49
1724317980, 117, 90.0, 21.49
1724317981, 117, 95.0, 21.49
1724317982, 117, 95.0, 21.39
1724317983, 117, 95.0, 21.39
1724317984, 117, 95.0, 21.4
1724317985, 116, 95.0, 21.4
1724317986, 115, 95.0, 21.4
1724317987, 113, 95.0, 21.38
1724317988, 111, 95.0, 21.38
1724317989, 110, 95.0, 21.38
1724317990, 109, 95.0, 21.42
1724317991, 109, 94.0, 21.42
1724317992, 109, 94.0, 21.43
1724317993, 109, 94.0, 21.43
1724317994, 109, 94.0, 21.43
1724317995, 108, 94.0, 21.43
1724317996, 108, 93.0, 21.26
1724317997, 108, 93.0, 21.26
1724317998, 108, 93.0, 21.26
1724317999, 108, 93.0, 21.32
1724318000, 107, 93.0, 21.32
1724318001, 107, 93.0, 21.39
1724318002, 107, 93.0, 21.39
1724318003, 107, 93.0, 21.39
1724318004, 107, 93.0, 21.48
1724318005, 107, 93.0, 21.48
1724318006, 107, 92.0, 21.48
1724318007, 107, 92.0, 21.35
1724318008, 108, 92.0, 21.35
1724318009, 108, 92.0, 21.35
1724318010, 108, 92.0, 21.47
1724318011, 108, 90.0, 21.47
1724318012, 108, 90.0, 21.61
1724318013, 109, 90.0, 21.61
1724318014, 109, 90.0, 21.79
1724318015, 109, 90.0, 21.79
1724318016, 109, 91.0, 21.79
1724318017, 110, 91.0, 21.81
1724318018, 110, 91.0, 21.81
1724318019, 109, 91.0, 21.81
1724318020, 109, 91.0, 21.81
1724318021, 109, 91.0, 21.81
1724318022, 108, 91.0, 21.64
1724318023, 108, 91.0, 21.64
1724318024, 106, 91.0, 21.64
1724318025, 105, 91.0, 21.64
1724318026, 103, 91.0, 21.56
1724318027, 103, 91.0, 21.56
1724318028, 102, 91.0, 21.61
1724318029, 102, 91.0, 21.61
1724318030, 102, 91.0, 21.61
1724318031, 102, 90.0, 21.63
1724318032, 103, 90.0, 21.63
1724318033, 103, 90.0, 21.7
1724318034, 104, 90.0, 21.7
1724318035, 105, 90.0, 21.7
1724318036, 106, 90.0, 21.7
1724318037, 107, 90.0, 21.7
1724318038, 108, 90.0, 21.52
1724318039, 108, 90.0, 21.52
1724318040, 108, 90.0, 21.57
1724318041, 107, 90.0, 21.57
1724318042, 107, 90.0, 21.57
1724318043, 107, 90.0, 21.57
1724318044, 107, 90.0, 21.57
1724318045, 107, 90.0, 21.43
1724318046, 107, 90.0, 21.43
1724318047, 106, 90.0, 21.51
1724318048, 106, 90.0, 21.51
1724318049, 107, 90.0, 21.51
1724318050, 107, 90.0, 21.45
1724318051, 106, 90.0, 21.45
1724318052, 106, 90.0, 21.45
1724318053, 105, 90.0, 21.45
1724318054, 105, 90.0, 21.45
1724318055, 104, 90.0, 21.45
1724318056, 105, 90.0, 21.45
1724318057, 105, 90.0, 21.31
1724318058, 105, 90.0, 21.31
1724318059, 105, 90.0, 21.31
1724318060, 105, 90.0, 21.29
1724318061, 105, 90.0, 21.29
1724318062, 106, 90.0, 21.29
1724318063, 107, 90.0, 21.22
1724318064, 109, 90.0, 21.22
1724318065, 108, 90.0, 21.22
1724318066, 108, 90.0, 21.22
1724318067, 108, 90.0, 20.87
1724318068, 108, 90.0, 20.87
1724318069, 107, 90.0, 20.87
1724318070, 107, 90.0, 20.98
1724318071, 106, 90.0, 20.98
1724318072, 106, 90.0, 21.11
1724318073, 105, 90.0, 21.11
1724318074, 105, 90.0, 21.11
1724318075, 104, 90.0, 21.14
1724318076, 103, 90.0, 21.14
1724318077, 102, 90.0, 21.22
1724318078, 102, 90.0, 21.22
1724318079, 102, 90.0, 21.22
1724318080, 101, 90.0, 21.59
1724318081, 102, 90.0, 21.59
1724318082, 103, 90.0, 22.07
1724318083, 103, 90.0, 22.07
